Date,Description,Original Description,Category,Amount,Status
2023-05-25,Tegut Filiale Stuttgart,Tegut Filiale 2328       STUTTGART,Groceries,-37.73,Posted
2023-05-24,McDonald's,MCDONALDS 01707          STUTTGART,Fast Food,-10.25,Posted
2023-05-22,Marc Schuster E K Stuttgart,MARC SCHUSTER E.K.       STUTTGART,Groceries,-58.5,Posted
2023-05-22,Tegut Filiale Stuttgart,Tegut Filiale 2328       STUTTGART,Groceries,-31.56,Posted
2023-05-22,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,100,Posted
2023-05-18,Wise,Wise                     188-89083833 NY,Transfer,-145.15,Posted
2023-05-18,Amazon,AMZN Mktp DE*1X6HP9IU5   800-279-6620,Shopping,-22.26,Posted
2023-05-18,National Student Clearinghouse,COLLEGE TRANSCRIPT       703-742-4200 VA,Education,-15,Posted
2023-05-18,Parchment,PARCHMENT-UNIV DOCS      480-719-1646 AZ,Education,-10,Posted
2023-05-18,Parchment,PARCHMENT-UNIV DOCS      480-719-1646 AZ,Education,-10,Posted
2023-05-18,Parchment,PARCHMENT-UNIV DOCS      480-719-1646 AZ,Education,-5.5,Posted
2023-05-18,Parchment,PARCHMENT-UNIV DOCS      480-719-1646 AZ,Education,-5,Posted
2023-05-17,McDonald's,MCDONALDS 01707          STUTTGART,Fast Food,-14.61,Posted
2023-05-16,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********5038,Financial,-23.48,Posted
2023-05-16,USAA Credit Card,USAA CREDIT CARD PAYMENT,Credit Card Payment,-300,Posted
2023-05-16,Tegut Filiale Stuttgart,Tegut Filiale 2328       STUTTGART,Groceries,-23.83,Posted
2023-05-16,YouTube Premium,GOOGLE *YouTubePremium   G.CO/HELPPAY#,Entertainment,-13.24,Posted
2023-05-15,ICPayment,ICPAYMENT,Transfer,-134.08,Posted
2023-05-12,Tegut Filiale Stuttgart,Tegut Filiale 2328       STUTTGART,Groceries,-16.4,Posted
