Date,Description,Original Description,Category,Amount,Status
2023-05-19,"Tegut Filiale 2328               051923","Tegut Filiale 2328               051923",Category Pending,-31.25,Pending
2023-05-18,"Wise","Wise                     188-89083833 NY",Transfer,-145.15,Posted
2023-05-18,"Amazon","AMZN Mktp DE*1X6HP9IU5   800-279-6620",Shopping,-22.26,Posted
2023-05-18,"National Student Clearinghouse","COLLEGE TRANSCRIPT       703-742-4200 VA",Education,-15.00,Posted
2023-05-18,"Parchment","PARCHMENT-UNIV DOCS      480-719-1646 AZ",Education,-10.00,Posted
2023-05-18,"Parchment","PARCHMENT-UNIV DOCS      480-719-1646 AZ",Education,-10.00,Posted
2023-05-18,"Parchment","PARCHMENT-UNIV DOCS      480-719-1646 AZ",Education,-5.50,Posted
2023-05-18,"Parchment","PARCHMENT-UNIV DOCS      480-719-1646 AZ",Education,-5.00,Posted
2023-05-17,"McDonald's","MCDONALDS 01707          STUTTGART",Fast Food,-14.61,Posted
2023-05-16,"USAA Property and Casualty Insurance","USAA P&C         AUTOPAY    ***********5038",Financial,-23.48,Posted
2023-05-16,"USAA Credit Card","USAA CREDIT CARD PAYMENT",Credit Card Payment,-300.00,Posted
2023-05-16,"Tegut Filiale Stuttgart","Tegut Filiale 2328       STUTTGART",Groceries,-23.83,Posted
2023-05-16,"YouTube Premium","GOOGLE *YouTubePremium   G.CO/HELPPAY#",Entertainment,-13.24,Posted
2023-05-15,"ICPayment","ICPAYMENT",Transfer,-134.08,Posted
2023-05-12,"Tegut Filiale Stuttgart","Tegut Filiale 2328       STUTTGART",Groceries,-16.40,Posted
2023-05-10,"Transact Stuttgart","000000070015000Transact, STUTTGART",Cash,-115.60,Posted
2023-05-10,"McDonald's","MCDONALDS 01707          STUTTGART",Fast Food,-7.91,Posted
2023-05-10,"ATM Fee Rebate","ATM REBATE",Atm Fee,4.35,Posted
2023-05-09,"Exchange","AAFES-ARMY       ACH PYMT   ***********9616",Shopping,-350.00,Posted
2023-05-08,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-400.00,Posted
2023-05-08,"Marc Schuster E K Stuttgart","MARC SCHUSTER E.K.       STUTTGART",Groceries,-65.72,Posted
2023-05-04,"Interest Paid","INTEREST PAID",Interest Income,0.01,Posted
2023-05-04,"Chase Credit Card","CHASE CREDIT CRD EPAY       ***********0221",Credit Card Payment,-100.00,Posted
2023-05-04,"McDonald's","MCDONALDS 01707          STUTTGART",Fast Food,-12.88,Posted
2023-05-04,"Microsoft","MSFT * E0800N9C20        MSFT AZURE",Electronics & Software,-6.58,Posted
2023-05-02,"American","AMERICAN INTERNATIONAL MO800-8412782  GA",Shipping,-51.15,Posted
2023-05-02,"Amazon Web Services","Amazon web services      AWS.AMAZON.COWA",Hosting,-11.14,Posted
2023-05-01,"Ancestry","ANC*ANCESTRY.COM         800-2623787  UT",Hobbies,-43.67,Posted
2023-05-01,"Google Cloud","Google CLOUD KZ7xvz      DUBLIN",Business Services,-6.15,Posted
2023-04-28,"Parchment","PARCHMENT-UNIV DOCS      480-719-1646 AZ",Education,-10.00,Posted
2023-04-27,"Defense Finance and Accounting Service","DFAS-CLEVELAND   RET NET    ***********8900",Paycheck,1898.01,Posted
2023-04-26,"Tegut Filiale Stuttgart","Tegut Filiale 2328       STUTTGART",Groceries,-11.82,Posted
2023-04-26,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,200.00,Posted
2023-04-25,"Tegut Filiale Stuttgart","Tegut Filiale 2328       STUTTGART",Groceries,-52.17,Posted
2023-04-25,"Baden Wuerttembergimilaneo","256100BADEN-WUERTTEMBERGIMILANEO",Cash,-22.32,Posted
2023-04-25,"Tegut Filiale Stuttgart","Tegut Filiale 2328       STUTTGART",Groceries,-14.82,Posted
