Date,Description,Original Description,Category,Amount,Status
2023-11-03,"Interest Paid","INTEREST PAID",Interest Income,0.01,Posted
2023-11-03,"Microsoft","MSFT *<E0800PNBPU>       MSFT AZURE",Electronics & Software,-14.04,Posted
2023-11-02,"American","AMERICAN INTERNATIONAL MO800-8412782  GA",Shipping,-51.15,Posted
2023-11-02,"Google Cloud","GOOGLE*CLOUD XX6WWF      CC GOOGLE.COM",Business Services,-6.21,Posted
2023-11-01,"Exchange","AAFES-ARMY       ACH PYMT   ***********9616",Shopping,-200.00,Posted
2023-11-01,"Alaska Airlines","ALASKA AIR  0272351416614SEATTLE      WA",Air Travel,-612.80,Posted
2023-11-01,"Amtrak","AMTRAK .COM 3030692575321WASHINGTON   DC",Public Transportation,-241.00,Posted
2023-10-31,"Chase Credit Card","CHASE CREDIT CRD EPAY       ***********1047",Credit Card Payment,-100.00,Posted
2023-10-31,"Ancestry","ANC*ANCESTRY.COM         800-2623787  UT",Hobbies,-43.67,Posted
2023-10-31,"Allianz Travel Insurance","ALLIANZ TRAVEL INS       ALLIANZINS.USVA",Travel,-38.30,Posted
2023-10-30,"USAA Credit Card","USAA CREDIT CARD PAYMENT",Credit Card Payment,-300.00,Posted
2023-10-30,"Master Koefte Inh Oem Stuttgart","MASTER KOEFTE INH. OEM   STUTTGART",Fast Food,-8.97,Posted
2023-10-30,"ATM Adjustment Credit","ATM ADJUSTMENT CREDIT",Reimbursement,100.00,Posted
2023-10-30,"Defense Finance and Accounting Service","DFAS-CLEVELAND   RET NET    ***********8900",Paycheck,1898.01,Posted
2023-10-27,"Tegut Filiale Stuttgart","Tegut Filiale 2328       STUTTGART",Groceries,-21.35,Posted
2023-10-26,"Wise","Wise                     888-9083833  NY",Transfer,-100.00,Posted
2023-10-25,"Wise","Wise Ltd         TrnWise    ***********2699",Financial,-1000.00,Posted
2023-10-25,"Frittenwerk Stuttgart","FRITTENWERK STUTTGART    STUTTGART",Fast Food,-15.21,Posted
2023-10-24,"Wise","Wise Ltd         TrnWise    ***********8463",Financial,-150.00,Posted
2023-10-24,"Tegut Filiale Stuttgart","Tegut Filiale 2328       STUTTGART",Groceries,-10.75,Posted
2023-10-24,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,1000.00,Posted
2023-10-23,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-250.00,Posted
2023-10-18,"USAA Credit Card","USAA CREDIT CARD PAYMENT",Credit Card Payment,-300.00,Posted
2023-10-17,"USAA Property and Casualty Insurance","USAA P&C         AUTOPAY    ***********5038",Financial,-23.48,Posted
2023-10-16,"ICPayment","ICPAYMENT",Transfer,-134.08,Posted
2023-10-16,"CuriosityStream","CURIOSITYSTREAM          HTTPSWWW.CURIMD",Television,-47.59,Posted
2023-10-16,"YouTube Premium","GOOGLE *YouTubePremium   G.CO/HELPPAY#",Entertainment,-12.79,Posted
2023-10-10,"Amazon Web Services","Amazon web services      AWS.AMAZON.COWA",Hosting,-12.01,Posted
2023-10-06,"Exchange","AAFES-ARMY       ACH PYMT   ***********9616",Shopping,-200.00,Posted
2023-10-05,"Chase Credit Card","CHASE CREDIT CRD EPAY       ***********6896",Credit Card Payment,-100.00,Posted
2023-10-04,"Interest Paid","INTEREST PAID",Interest Income,0.01,Posted
2023-10-04,"Baden Wuerttembergimilaneo","256100BADEN-WUERTTEMBERGIMILANEO",Cash,-106.03,Posted
2023-10-04,"Microsoft","MSFT * E0800P9OK3        MSFT AZURE",Electronics & Software,-15.52,Posted
2023-10-03,"American","AMERICAN INTERNATIONAL MO800-8412782  GA",Shipping,-51.15,Posted
2023-10-02,"Ancestry","ANC*ANCESTRY.COM         800-2623787  UT",Hobbies,-43.67,Posted
2023-10-02,"Google Cloud","Google CLOUD v7CWPz      DUBLIN",Business Services,-5.97,Posted
2023-09-27,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-250.00,Posted
