id,datetimestamp,amount,convertedvalue,category,currency,name,description,accountid
1,2023-02-01,-47.9,-47.9,Mobility,EUR,"PayPal (Europe) S.a r.l. et Cie. S.C.A.","1024983197214 PP.5524.PP . DB Vertrieb GmbH. Ihr Einkauf bei DB Vertrieb GmbH ",1
2,2023-02-01,-8.04,-8.04,Food,EUR,"Lagard re Travel Retail//Frankfurt am Main/DE","2023-01-31T10:19 Debitk.0 2026-12 ",1
3,2024-02-01,-2.35,-2.35,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1032219563178/. Bolt Operations OU. Ihr Einkauf bei Bolt Operations OU ",1
4,2024-02-01,-39.99,-39.99,Shopping,EUR,"M267-MEDIA MARKT//STUTTGART/DE","2024-01-31T12:27 Debitk.0 2026-12 ",1
5,2024-02-01,-49.0,-49.0,Mobility,EUR,"DB Vertrieb GmbH                                                      Europa-Allee 78-84","Abo 724934363 zum 01.02.2024 ",1
6,2024-02-01,-46.55,-46.55,Mobility,EUR,"DB VERTRIEB GMBH","AVVS000020102638 2/2024. ROCHE JOSHUA. 070576836-001 NR 102097825 BAHN.DE/ABOPORTAL ",1
7,2023-03-01,-2027.62,-2027.62,"Child Support",EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1025532799550 PP.5524.PP . Wise Europe. Ihr Einkauf bei Wise Europe ",1
8,2023-03-01,-6.9,-6.9,Food,EUR,Luigis//Stuttgart/DE,"2023-02-28T12:49 Debitk.0 2026-12 ",1
9,2024-03-01,-6.45,-6.45,Mobility,EUR,"PayPal Europe S.a.r.l. et Cie S.C.A","1032827317802/. Tier Mobility SE. Ihr Einkauf bei Tier Mobility SE ",1
10,2024-03-01,-7.88,-7.88,Food,EUR,"SUBWAY MILANEO//Stuttgart/DE","2024-02-29T12:03 Debitk.0 2026-12 ",1
11,2024-03-01,-49.0,-49.0,Mobility,EUR,"DB Vertrieb GmbH                                                      Europa-Allee 78-84","Abo 724934363 zum 01.03.2024 ",1
12,2024-03-01,-46.55,-46.55,Mobility,EUR,"DB VERTRIEB GMBH","AVVS000020214102 3/2024. ROCHE JOSHUA. 070576836-001 NR 102097825 BAHN.DE/ABOPORTAL ",1
13,2023-06-01,-28.0,-28.0,Shopping,EUR,"AMAZON PAYMENTS EUROPE S.C.A.","305-1353360-2341935 AMZN Mktp DE 13ODA8FZBWS6BWH7 ",1
